<ID|readonly|noverify>;<English>▃USA▀GER▂USSR▄UK▅JP☀ROC␗PRC▄IT▄FRISR⚜FR◊GDR◄FRG◐HUN◔HUN◗NLD◘NLD
cn_type_63_I_shop;Type 63
cn_type_63_I_0;Type 63
cn_type_63_I_1;Type 63
cn_type_63_I_2;Type 63
cn_ztz_59a_shop;ZTZ59A
cn_ztz_59a_0;ZTZ59A
cn_ztz_59a_1;ZTZ59A
cn_ztz_59a_2;ZTZ59A
cn_type_59_shop;Type 59
cn_type_59_0;Type 59
cn_type_59_1;Type 59
cn_type_59_2;Type 59
cn_m42_duster_shop;☀M42
cn_m42_duster_0;☀M42 Duster
cn_m42_duster_1;☀M42
cn_m42_duster_2;☀M42
cn_wma_301_shop;WMA301
cn_wma_301_0;WMA301
cn_wma_301_1;WMA301
cn_wma_301_2;WMA301
cn_ztl_11_shop;ZTL11
cn_ztl_11_0;ZTL11
cn_ztl_11_1;ZTL11
cn_ztl_11_2;ZTL11
cn_ptl_02_shop;PTL02
cn_ptl_02_0;PTL02
cn_ptl_02_1;PTL02
cn_ptl_02_2;PTL02
cn_pgz_04a_shop;PGZ04A
cn_pgz_04a_0;PGZ04A
cn_pgz_04a_1;PGZ04A
cn_pgz_04a_2;PGZ04A
cn_pgz_09_shop;PGZ09
cn_pgz_09_0;PGZ09
cn_pgz_09_1;PGZ09
cn_pgz_09_2;PGZ09
cn_wz_305_shop;WZ305
cn_wz_305_0;WZ305
cn_wz_305_1;WZ305
cn_wz_305_2;WZ305
cn_zsd63_pg87_shop;ZSD63/PG87
cn_zsd63_pg87_0;ZSD63/PG87
cn_zsd63_pg87_1;ZSD63/PG87
cn_zsd63_pg87_2;ZSD63/PG87
cn_type_69_2g_shop;T-69 II G
cn_type_69_2g_0;Medium Tank T-69 II G
cn_type_69_2g_1;T-69 II G
cn_type_69_2g_2;T-69 II G
cn_ztz_96a_race_shop;ZTZ96A
cn_ztz_96a_race_0;ZTZ96A
cn_ztz_96a_race_1;ZTZ96A
cn_ztz_96a_race_2;ZTZ96A
cn_ztz_96a_shop;ZTZ96A
cn_ztz_99_w_shop;ZTZ99-III
cn_ztz_99_w_0;ZTZ99 Stage III
cn_ztz_99_w_1;ZTZ99-III
cn_ztz_99_w_2;ZTZ99-III
cn_ztz_99_shop;ZTZ99-II
cn_ztz_99_0;ZTZ99 Stage II
cn_ztz_99_1;ZTZ99-II
cn_ztz_99_2;ZTZ99-II
cn_gmc_cckw_353_m45_quad_shop;CCKW 353 (M45)
cn_gmc_cckw_353_m45_quad_0;CCKW 353 (M45)
cn_gmc_cckw_353_m45_quad_1;CCKW 353 (M45)
cn_gmc_cckw_353_m45_quad_2;CCKW 353 (M45)
cn_ztz_96a_0;ZTZ96A
cn_ztz_96a_1;ZTZ96A
cn_ztz_96a_2;ZTZ96A
cn_ztz_96_shop;ZTZ96
cn_ztz_96_0;ZTZ96
cn_ztz_96_1;ZTZ96
cn_ztz_96_2;ZTZ96
cn_type_59d_shop;ZTZ59D1
cn_type_59d_0;ZTZ59D1
cn_type_59d_1;ZTZ59D1
cn_type_59d_2;ZTZ59D1
cn_type_65_aa_shop;Phòng không T-34
cn_type_65_aa_0;Xe tăng phòng không 37 mm
cn_type_65_aa_1;Phòng không T-34
cn_type_65_aa_2;Phòng không T-34
ussr_destroyer_7y_shop;Soobrazitelny
ussr_destroyer_7y_0;Pr.7U, Soobrazitelny, 1943
ussr_destroyer_7y_1;Soobrazitelny
ussr_destroyer_7y_2;Soobrazitelny
ussr_pr_123bis_shop;Pr.123-bis
ussr_pr_123bis_0;Pr.123-bis
ussr_pr_123bis_1;Pr.123-bis
ussr_pr_123bis_2;Pr.123-bis
ussr_pr_123k_shop;Pr.123K
ussr_pr_123k_0;Pr.123K "Komsomolets"
ussr_pr_123k_1;Pr.123K
ussr_pr_123k_2;Pr.123K
germ_pzkpfw_VI_ausf_h1_tiger_animal_version_shop;␠Tiger
germ_pzkpfw_VI_ausf_h1_tiger_animal_version_0;␠Tiger
germ_pzkpfw_VI_ausf_h1_tiger_animal_version_1;␠Tiger
germ_pzkpfw_VI_ausf_h1_tiger_animal_version_2;␠Tiger
jp_m4a3e8_76w_sherman_shop;▅M4A3 (76) W
jp_m4a3e8_76w_sherman_0;Medium Tank M4A3 (76) W HVSS Sherman
jp_m4a3e8_76w_sherman_1;▅M4A3 (76) W
jp_m4a3e8_76w_sherman_2;▅M4A3 (76) W
jp_m41_walker_bulldog_shop;▅M41A1
jp_m41_walker_bulldog_0;Light Tank M41 SDF
jp_m41_walker_bulldog_1;▅M41A1
jp_m41_walker_bulldog_2;▅M41A1
jp_m24_chaffee_shop;▅M24
jp_m24_chaffee_0;Light Tank M24 SDF
jp_m24_chaffee_1;▅M24
jp_m24_chaffee_2;▅M24
jp_type_89b_i_go_otsu_shop;I-Go Ko
jp_type_89b_i_go_otsu_0;Type 89b I-Go Ko
jp_type_89b_i_go_otsu_1;I-Go Ko
jp_type_89b_i_go_otsu_2;I-Go Ko
jp_type_95_ha_go_shop;Ha-Go
jp_type_95_ha_go_0;Type 95 Ha-Go
jp_type_95_ha_go_1;Ha-Go
jp_type_95_ha_go_2;Ha-Go
jp_type_98_ke_ni_shop;Ke-Ni
jp_type_98_ke_ni_0;Type 98 Ke-Ni
jp_type_98_ke_ni_1;Ke-Ni
jp_type_98_ke_ni_2;Ke-Ni
jp_type_95_ha_go_commander_shop;Ha-Go Commander
jp_type_95_ha_go_commander_0;Type 95 Ha-Go Commander
jp_type_95_ha_go_commander_1;Ha-Go Commander
jp_type_95_ha_go_commander_2;Ha-Go Commander
jp_type_3_ka_chi_shop;Ka-Chi
jp_type_3_ka_chi_0;Type 3 Ka-Chi
jp_type_3_ka_chi_1;Ka-Chi
jp_type_3_ka_chi_2;Ka-Chi
jp_type_2_ka_mi_shop;Ka-Mi
jp_type_2_ka_mi_0;Type 2 Ka-Mi
jp_type_2_ka_mi_1;Ka-Mi
jp_type_2_ka_mi_2;Ka-Mi
jp_type_3_chi_nu_shop;Chi-Nu
jp_type_3_chi_nu_0;Type 3 Chi-Nu
jp_type_3_chi_nu_1;Chi-Nu
jp_type_3_chi_nu_2;Chi-Nu
jp_type_4_chi_to_late_shop;Chi-To Late
jp_type_4_chi_to_late_0;Type 4 Chi-To Late
jp_type_4_chi_to_late_1;Chi-To Late
jp_type_4_chi_to_late_2;Chi-To Late
jp_type_3_chi_nu_75cm_type_5_shop;Chi-Nu II
jp_type_3_chi_nu_75cm_type_5_0;Chi-Nu II
jp_type_3_chi_nu_75cm_type_5_1;Chi-Nu II
jp_type_3_chi_nu_75cm_type_5_2;Chi-Nu II
jp_type_3_ho_ni_I_shop;Ho-Ni I
jp_type_3_ho_ni_I_0;Type 1 Ho-Ni I
jp_type_3_ho_ni_I_1;Ho-Ni I
jp_type_3_ho_ni_I_2;Ho-Ni I
jp_type_3_ho_ni_III_shop;Ho-Ni III
jp_type_3_ho_ni_III_0;Type 3 Ho-Ni III
jp_type_3_ho_ni_III_1;Ho-Ni III
jp_type_3_ho_ni_III_2;Ho-Ni III
jp_type_95_heavy_shop;Ro-Go
jp_type_95_heavy_0;Type 95 Ro-Go
jp_type_95_heavy_1;Ro-Go
jp_type_95_heavy_2;Ro-Go
jp_type_97_chi_ha_shop;Chi-Ha
jp_type_97_chi_ha_0;Type 97 Chi-Ha
jp_type_97_chi_ha_1;Chi-Ha
jp_type_97_chi_ha_2;Chi-Ha
jp_type_2_ho_i_shop;Ho-I
jp_type_2_ho_i_0;Type 2 Ho-I
jp_type_2_ho_i_1;Ho-I
jp_type_2_ho_i_2;Ho-I
jp_type_97_kai_shop;Chi-Ha Kai
jp_type_97_kai_0;Type 97 Chi-Ha Kai
jp_type_97_kai_1;Chi-Ha Kai
jp_type_97_kai_2;Chi-Ha Kai
jp_type_97_kai_td_shop;Chi-Ha Kai TD
jp_type_97_kai_td_0;Type 97 Chi-Ha Kai TD
jp_type_97_kai_td_1;Chi-Ha Kai TD
jp_type_97_kai_td_2;Chi-Ha Kai TD
jp_type_1_chi_he_5th_regiment_shop;Chi-He (5th Regiment)
jp_type_1_chi_he_5th_regiment_0;Type 1 Chi-He (5th Regiment)
jp_type_1_chi_he_5th_regiment_1;Chi-He (5th Regiment)
jp_type_1_chi_he_5th_regiment_2;Chi-He (5th Regiment)
jp_type_1_chi_he_shop;Chi-He
jp_type_1_chi_he_0;Type 1 Chi-He
jp_type_1_chi_he_1;Chi-He
jp_type_1_chi_he_2;Chi-He
jp_type_97_chi_ha_12cm_shop;Chi-Ha Short Gun
jp_type_97_chi_ha_12cm_0;Type 97 Chi-Ha Short Gun
jp_type_97_chi_ha_12cm_1;Chi-Ha Short Gun
jp_type_97_chi_ha_12cm_2;Chi-Ha Short Gun
jp_st_b1_shop;STB-2
jp_st_b1_0;STB-2
jp_st_b1_1;STB-2
jp_st_b1_2;STB-2
jp_m47_patton_II_shop;▅M47
jp_m47_patton_II_0;90 mm Gun Tank M47 Patton II
jp_m47_patton_II_1;▅M47
jp_m47_patton_II_2;▅M47
jp_type_61_shop;Type 61
jp_type_61_0;Type 61
jp_type_61_1;Type 61
jp_type_61_2;Type 61
jp_type_60_atm_shop;Type 60 ATM
jp_type_60_atm_0;Type 60 ATM
jp_type_60_atm_1;Type 60 ATM
jp_type_60_atm_2;Type 60 ATM
jp_type_75_mlrs_shop;Type 75 MLRS
jp_type_75_mlrs_0;Type 75 MLRS
jp_type_75_mlrs_1;Type 75 MLRS
jp_type_75_mlrs_2;Type 75 MLRS
jp_type_74_f_shop;Type 74 (F)
jp_type_74_f_0;Type 74 (F)
jp_type_74_f_1;Type 74 (F)
jp_type_74_f_2;Type 74 (F)
jp_type_74_c_shop;Type 74 (C)
jp_type_74_c_0;Type 74 (C)
jp_type_74_c_1;Type 74 (C)
jp_type_74_c_2;Type 74 (C)
jp_type_74_shop;Type 74 (E)
jp_type_74_0;Type 74 (E)
jp_type_74_1;Type 74 (E)
jp_type_74_2;Type 74 (E)
jp_type_94_shop;Type 94
jp_type_94_0;Isuzu Type 94
jp_type_94_1;Type 94
jp_type_94_2;Type 94
shop/group/jp_st_group;ST-A1/ST-A2
jp_st_a3_shop;ST-A3
jp_st_a3_0;ST-A3
jp_st_a3_1;ST-A3
jp_st_a3_2;ST-A3
jp_st_a1_shop;ST-A1
jp_st_a1_0;ST-A1
jp_st_a1_1;ST-A1
jp_st_a1_2;ST-A1
jp_st_a2_shop;ST-A2
jp_st_a2_0;ST-A2
jp_st_a2_1;ST-A2
jp_st_a2_2;ST-A2
jp_pzkpfw_VI_ausf_e_tiger_shop;▅Heavy Tank №6
jp_pzkpfw_VI_ausf_e_tiger_0;▅Heavy Tank №6
jp_pzkpfw_VI_ausf_e_tiger_1;▅Heavy Tank №6
jp_pzkpfw_VI_ausf_e_tiger_2;▅Heavy Tank №6
jp_type_98_ta_se_shop;Ta-Se
jp_type_98_ta_se_0;Ta-Se
jp_type_98_ta_se_1;Ta-Se
jp_type_98_ta_se_2;Ta-Se
jp_type_95_so_ki_shop;So-Ki
jp_type_95_so_ki_0;So-Ki
jp_type_95_so_ki_1;So-Ki
jp_type_95_so_ki_2;So-Ki
jp_m42_duster_shop;▅M42
jp_m42_duster_0;Twin 40 mm Self-Propelled Gun M42 Duster
jp_m42_duster_1;▅M42
jp_m42_duster_2;▅M42
jp_type_60_sprg_shop;Type 60 SPRG (C)
jp_type_60_sprg_0;Type 60 Self-Propelled Recoilless Gun (C)
jp_type_60_sprg_1;Type 60 SPRG (C)
jp_type_60_sprg_2;Type 60 SPRG (C)
jp_hiro_sha_shop;Ro-Go Exp.
jp_hiro_sha_0;Type 95 Experimental 12cm Self Propelled Gun
jp_hiro_sha_1;Ro-Go Exp.
jp_hiro_sha_2;Ro-Go Exp.
jp_navy_120mm_spg_shop;Chi-Ha LG
jp_navy_120mm_spg_0;Type 97 Chi-Ha Long Gun
jp_navy_120mm_spg_1;Chi-Ha LG
jp_navy_120mm_spg_2;Chi-Ha LG
jp_type_4_ho_ro_shop;Ho-Ro
jp_type_4_ho_ro_0;Type 4 Ho-Ro
jp_type_4_ho_ro_1;Ho-Ro
jp_type_4_ho_ro_2;Ho-Ro
jp_type_5_na_to_shop;Na-To
jp_type_5_na_to_0;Type 5 Na-To
jp_type_5_na_to_1;Na-To
jp_type_5_na_to_2;Na-To
jp_type_4_chi_to_shop;Chi-To
jp_type_4_chi_to_0;Type 4 Chi-To
jp_type_4_chi_to_1;Chi-To
jp_type_4_chi_to_2;Chi-To
jp_type_5_chi_ri_shop;Chi-Ri
jp_type_5_chi_ri_0;Type 5 Chi-Ri
jp_type_5_chi_ri_1;Chi-Ri
jp_type_5_chi_ri_2;Chi-Ri
jp_type_5_ho_ri_prototype_shop;Ho-Ri Prototype
jp_type_5_ho_ri_prototype_0;Type 5 Ho-Ri Prototype
jp_type_5_ho_ri_prototype_1;Ho-Ri Prototype
jp_type_5_ho_ri_prototype_2;Ho-Ri Prototype
ussr_cargo_ship_liberty_shop;Cargo ship
ussr_cargo_ship_liberty_0;Cargo ship
ussr_cargo_ship_liberty_1;Cargo ship
ussr_cargo_ship_liberty_2;Cargo ship
ussr_pr_183_shop;Pr.183
ussr_pr_183_0;Pr.183 "Bolshevik"
ussr_pr_183_1;Pr.183
ussr_pr_183_2;Pr.183
ussr_mkl_186_shop;MBK pr.186
ussr_mkl_186_0;MBK pr.186
ussr_mkl_186_1;MBK pr.186
ussr_mkl_186_2;MBK pr.186
germ_mkpz_m47_shop;mKPz M47 G
germ_mkpz_m47_0;mKPz M47 G
germ_mkpz_m47_1;mKPz M47 G
germ_mkpz_m47_2;mKPz M47 G
ussr_valentine_mk_9_shop;▂МК-IX "Valentine"
ussr_valentine_mk_9_0;▂МК-IX "Valentine"
ussr_valentine_mk_9_1;▂МК-IX "Valentine"
ussr_valentine_mk_9_2;▂МК-IX "Valentine"
ussr_a_12_mk_2_matilda_2A_F96_shop;▂MK-II "Matilda"
ussr_a_12_mk_2_matilda_2A_F96_0;▂Tank MK-II "Matilda" (F-96)
ussr_a_12_mk_2_matilda_2A_F96_1;▂MK-II "Matilda"
ussr_a_12_mk_2_matilda_2A_F96_2;▂MK-II "Matilda"
uk_a_33_excelsior_shop;Excelsior
uk_a_33_excelsior_0;Tank, Heavy Assault, A33 (Excelsior)
uk_a_33_excelsior_1;Excelsior
uk_a_33_excelsior_2;Excelsior
uk_fv102_striker_shop;Striker
uk_fv102_striker_0;FV102 Striker
uk_fv102_striker_1;Striker
uk_fv102_striker_2;Striker
uk_cargo_ship_liberty_shop;Cargo ship
uk_cargo_ship_liberty_0;Cargo ship
uk_cargo_ship_liberty_1;Cargo ship
uk_cargo_ship_liberty_2;Cargo ship
uk_cargo_ship_liberty_EC_0;Cargo ship
uk_cargo_ship_liberty_EC_1;Cargo ship
uk_cargo_ship_liberty_EC_2;Cargo ship
it_p_26_40_shop;P40 "G.C. Leoncello"
it_p_26_40_0;Fiat-Ansaldo P40 Gruppo Corazzato "Leoncello"
it_p_26_40_1;P40 "G.C. Leoncello"
it_p_26_40_2;P40 "G.C. Leoncello"
it_p_40_shop;P40
it_p_40_0;Fiat-Ansaldo P40
it_p_40_1;P40
it_p_40_2;P40
it_m26_ariete_shop;M26 "D.C.Ariete"
it_m26_ariete_0;M26 Pershing 132ª Divisione corazzata "Ariete"
it_m26_ariete_1;M26 "D.C.Ariete"
it_m26_ariete_2;M26 "D.C.Ariete"
us_m8_greyhound_shop;M8 LAC
us_m8_greyhound_0;Light Armored Car M8
us_m8_greyhound_1;M8 LAC
us_m8_greyhound_2;M8 LAC
germ_le_kpz_m41_shop;leKPz M41
germ_le_kpz_m41_0;leKPz M41
germ_le_kpz_m41_1;leKPz M41
germ_le_kpz_m41_2;leKPz M41
germ_wiesel_2_adwc_shop;Ozelot
germ_wiesel_2_adwc_0;Leichtes Flugabwehrsystem Ozelot
germ_wiesel_2_adwc_1;Ozelot
germ_wiesel_2_adwc_2;Ozelot
germ_wiesel_1_tow_shop;Wiesel 1A2
germ_wiesel_1_tow_0;Waffenträger Wiesel 1A2 TOW
germ_wiesel_1_tow_1;Wiesel 1A2
germ_wiesel_1_tow_2;Wiesel 1A2
germ_wiesel_1_mk20_shop;Wiesel 1A4
germ_wiesel_1_mk20_0;Waffenträger Wiesel 1A4 MK
germ_wiesel_1_mk20_1;Wiesel 1A4
germ_wiesel_1_mk20_2;Wiesel 1A4
germ_marder_df_105_shop;◄DF105
germ_marder_df_105_0;◄DF105
germ_marder_df_105_1;◄DF105
germ_marder_df_105_2;◄DF105
germ_marder_1a1_shop;Marder A1-
germ_marder_1a1_0;SPz Marder A1-
germ_marder_1a1_1;Marder A1-
germ_marder_1a1_2;Marder A1-
germ_begleitpanzer_57_shop;Begleitpanzer 57
germ_begleitpanzer_57_0;Begleitpanzer 57
germ_begleitpanzer_57_1;Begleitpanzer 57
germ_begleitpanzer_57_2;Begleitpanzer 57
sw_pbil_m40_shop;Pbil m/40
sw_pbil_m40_0;Pansarbil m/40
sw_pbil_m40_1;Pbil m/40
sw_pbil_m40_2;Pbil m/40
sw_bkan_1c_shop;Bkan 1C
sw_bkan_1c_0;Bandkanon 1C
sw_bkan_1c_1;Bkan 1C
sw_bkan_1c_2;Bkan 1C
sw_strv_m31_shop;Strv m/31
sw_strv_m31_0;Stridsvagn m/31
sw_strv_m31_1;Strv m/31
sw_strv_m31_2;Strv m/31
sw_sav_m43_1944_shop;Sav m/43 (1944)
sw_sav_m43_1944_0;Stormartillerivagn m/43 (1944)
sw_sav_m43_1944_1;Sav m/43 (1944)
sw_sav_m43_1944_2;Sav m/43 (1944)
sw_sav_m43_1946_shop;Sav m/43 (1946)
sw_sav_m43_1946_0;Stormartillerivagn m/43 (1946)
sw_sav_m43_1946_1;Sav m/43 (1946)
sw_sav_m43_1946_2;Sav m/43 (1946)
sw_strv_104_shop;Strv 104
sw_strv_104_0;Stridsvagn 104
sw_strv_104_1;Strv 104
sw_strv_104_2;Strv 104
sw_strv_101_shop;Strv 101
sw_strv_101_0;Stridsvagn 101
sw_strv_101_1;Strv 101
sw_strv_101_2;Strv 101
sw_strv_74_shop;Strv 74
sw_strv_74_0;Stridsvagn 74
sw_strv_74_1;Strv 74
sw_strv_74_2;Strv 74
sw_pvkv_m43_1963_shop;Pvkv m/43 (1963)
sw_pvkv_m43_1963_0;Pansarvärnskanonvagn m/43 (1963)
sw_pvkv_m43_1963_1;Pvkv m/43 (1963)
sw_pvkv_m43_1963_2;Pvkv m/43 (1963)
sw_lvkv_90c_shop;Lvkv 9040C
sw_lvkv_90c_0;Luftvärnskanonvagn 9040C
sw_lvkv_90c_1;Lvkv 9040C
sw_lvkv_90c_2;Lvkv 9040C
sw_strv_103a_shop;Strv 103A
sw_strv_103a_0;Stridsvagn 103A
sw_strv_103a_1;Strv 103A
sw_strv_103a_2;Strv 103A
sw_strv_103c_shop;Strv 103С
sw_strv_103c_0;Stridsvagn 103С
sw_strv_103c_1;Strv 103С
sw_strv_103c_2;Strv 103С
sw_landsverk_ush_405_shop;U-SH 405
sw_landsverk_ush_405_0;Landsverk U-SH 405
sw_landsverk_ush_405_1;U-SH 405
sw_landsverk_ush_405_2;U-SH 405
sw_strv_121_shop;Strv 121
sw_strv_121_0;Stridsvagn 121
sw_strv_121_1;Strv 121
sw_strv_121_2;Strv 121
sw_cv_90120_shop;CV 90120
sw_cv_90120_0;Combat Vehicle 90120
sw_cv_90120_1;CV 90120
sw_cv_90120_2;CV 90120
sw_strv_122b_plss_shop;Strv 122B PLSS
sw_strv_122b_plss_0;Stridsvagn 122B PLSS
sw_strv_122b_plss_1;Strv 122B PLSS
sw_strv_122b_plss_2;Strv 122B PLSS
sw_strv_122_shop;Strv 122A
sw_strv_122_0;Stridsvagn 122A
sw_strv_122_1;Strv 122A
sw_strv_122_2;Strv 122A
sw_cv_90105_tml_shop;CV 90105
sw_cv_90105_tml_0;Combat Vehicle 90105 XC-8
sw_cv_90105_tml_1;CV 90105
sw_cv_90105_tml_2;CV 90105
sw_strf_9056_shop;Strf 9040 BILL
sw_strf_9056_0;Stridsfordon 9040 BILL
sw_strf_9056_1;Strf 9040 BILL
sw_strf_9056_2;Strf 9040 BILL
sw_strf_90b_shop;Strf 9040B
sw_strf_90b_0;Stridsfordon 9040B
sw_strf_90b_1;Strf 9040B
sw_strf_90b_2;Strf 9040B
sw_strf_90c_shop;Strf 9040C
sw_strf_90c_0;Stridsfordon 9040C
sw_strf_90c_1;Strf 9040C
sw_strf_90c_2;Strf 9040C
sw_strv_81_rb52_shop;Strv 81 (RB 52)
sw_strv_81_rb52_0;Strv 81 (RB 52)
sw_strv_81_rb52_1;Strv 81 (RB 52)
sw_strv_81_rb52_2;Strv 81 (RB 52)
sw_strv_81_shop;Strv 81
sw_strv_81_0;Stridsvagn 81
sw_strv_81_1;Strv 81
sw_strv_81_2;Strv 81
sw_strv_m38_shop;Strv m/38
sw_strv_m38_0;Stridsvagn m/38
sw_strv_m38_1;Strv m/38
sw_strv_m38_2;Strv m/38
germ_pzkpfw_III_ausf_J_td_shop;Pz.III J1 TD
germ_pzkpfw_III_ausf_J_td_0;Pz.III J1 TD
germ_pzkpfw_III_ausf_J_td_1;Pz.III J1 TD
germ_pzkpfw_III_ausf_J_td_2;Pz.III J1 TD
ussr_bt_7_1937_td_shop;BT-7 TD
ussr_bt_7_1937_td_0;BT-7 TD
ussr_bt_7_1937_td_1;BT-7 TD
ussr_bt_7_1937_td_2;BT-7 TD
sw_strv_m39_td_shop;Strv m/39 TD
sw_strv_m39_td_0;Stridsvagn m/39 TD
sw_strv_m39_td_1;Strv m/39 TD
sw_strv_m39_td_2;Strv m/39 TD
sw_strv_m39_shop;Strv m/39
sw_strv_m39_0;Stridsvagn m/39
sw_strv_m39_1;Strv m/39
sw_strv_m39_2;Strv m/39
sw_strv_m40l_shop;Strv m/40L
sw_strv_m40l_0;Stridsvagn m/40L
sw_strv_m40l_1;Strv m/40L
sw_strv_m40l_2;Strv m/40L
sw_strv_m41_s1_shop;Strv m/41 S-I
sw_strv_m41_s1_0;Stridsvagn m/41 S-I
sw_strv_m41_s1_1;Strv m/41 S-I
sw_strv_m41_s1_2;Strv m/41 S-I
sw_strv_m41_s2_shop;Strv m/41 S-II
sw_strv_m41_s2_0;Stridsvagn m/41 S-II
sw_strv_m41_s2_1;Strv m/41 S-II
sw_strv_m41_s2_2;Strv m/41 S-II
sw_lago_1_shop;Lago I
sw_lago_1_0;Lago I
sw_lago_1_1;Lago I
sw_lago_1_2;Lago I
sw_pvrbv_551_shop;Pvrbv 551
sw_pvrbv_551_0;Pansarvärnsrobotbandvagn 551
sw_pvrbv_551_1;Pvrbv 551
sw_pvrbv_551_2;Pvrbv 551
sw_crotale_ng_shop;ItO 90M
sw_crotale_ng_0;Ilmatorjuntaohjus 90M
sw_crotale_ng_1;ItO 90M
sw_crotale_ng_2;ItO 90M
sw_asrad_r_shop;ASRAD-R
sw_asrad_r_0;ASRAD-R
sw_asrad_r_1;ASRAD-R
sw_asrad_r_2;ASRAD-R
sw_lvrbv_701_shop;Lvrbv 701
sw_lvrbv_701_0;Luftvärnsrobotbandvagn 701
sw_lvrbv_701_1;Lvrbv 701
sw_lvrbv_701_2;Lvrbv 701
sw_ikv_73_shop;Ikv 73
sw_ikv_73_0;Infanterikanonvagn 73
sw_ikv_73_1;Ikv 73
sw_ikv_73_2;Ikv 73
sw_ikv_72_shop;Ikv 72
sw_ikv_72_0;Infanterikanonvagn 72
sw_ikv_72_1;Ikv 72
sw_ikv_72_2;Ikv 72
sw_l_62_anti_II_shop;L-62 ANTI II
sw_l_62_anti_II_0;Landsverk L-62 ANTI II
sw_l_62_anti_II_1;L-62 ANTI II
sw_l_62_anti_II_2;L-62 ANTI II
sw_lvkv_42_shop;Lvkv 42
sw_lvkv_42_0;Luftvärnskanonvagn 42
sw_lvkv_42_1;Lvkv 42
sw_lvkv_42_2;Lvkv 42
sw_veak_40_shop;VEAK 40
sw_veak_40_0;Vagn Eldledning AutomatKanon 40
sw_veak_40_1;VEAK 40
sw_veak_40_2;VEAK 40
sw_pvlvv_fm42_shop;Pvlvv fm/42
sw_pvlvv_fm42_0;Pansarvärnslavettvagn fm/42
sw_pvlvv_fm42_1;Pvlvv fm/42
sw_pvlvv_fm42_2;Pvlvv fm/42
sw_tgdgb_m40_lv_shop;Lvtdgb m/40
sw_tgdgb_m40_lv_0;Luftvärnsterrängdragbil m/40
sw_tgdgb_m40_lv_1;Lvtdgb m/40
sw_tgdgb_m40_lv_2;Lvtdgb m/40
sw_udes_33_shop;UDES 33
sw_udes_33_0;Underlagsgrupp Direkt Eld Stridsfordon 33
sw_udes_33_1;UDES 33
sw_udes_33_2;UDES 33
sw_ikv_103_shop;Ikv 103
sw_ikv_103_0;Infanterikanonvagn 103
sw_ikv_103_1;Ikv 103
sw_ikv_103_2;Ikv 103
sw_sav_fm48_shop;SAV 20.12.48
sw_sav_fm48_0;Stormartillerivagn 20.12.48
sw_sav_fm48_1;SAV 20.12.48
sw_sav_fm48_2;SAV 20.12.48
sw_stormpjas_fm43_44_shop;Spj fm/43-44
sw_stormpjas_fm43_44_0;Stormpjäs fm/43-44
sw_stormpjas_fm43_44_1;Spj fm/43-44
sw_stormpjas_fm43_44_2;Spj fm/43-44
sw_pvkv_II_shop;Pvkv II
sw_pvkv_II_0;Pansarvärnskanonvagn II
sw_pvkv_II_1;Pvkv II
sw_pvkv_II_2;Pvkv II
sw_ikv_91_105_shop;Ikv 91-105
sw_ikv_91_105_0;Infanterikanonvagn 91-105
sw_ikv_91_105_1;Ikv 91-105
sw_ikv_91_105_2;Ikv 91-105
sw_ikv_91_shop;Ikv 91
sw_ikv_91_0;Infanterikanonvagn 91
sw_ikv_91_1;Ikv 91
sw_ikv_91_2;Ikv 91
sw_strv_m42_eh_shop;Strv m/42 EH
sw_strv_m42_eh_0;Stridsvagn m/42 EH
sw_strv_m42_eh_1;Strv m/42 EH
sw_strv_m42_eh_2;Strv m/42 EH
sw_strv_m42_delat_torn_shop;Strv m/42 DT
sw_strv_m42_delat_torn_0;Stridsvagn m/42 Delat Torn
sw_strv_m42_delat_torn_1;Strv m/42 DT
sw_strv_m42_delat_torn_2;Strv m/42 DT
sw_pvkv_m43_1946_shop;Pvkv m/43 (1946)
sw_pvkv_m43_1946_0;Pansarvärnskanonvagn m/43 (1946)
sw_pvkv_m43_1946_1;Pvkv m/43 (1946)
sw_pvkv_m43_1946_2;Pvkv m/43 (1946)
sw_strv_103_0_shop;Strv 103-0
sw_strv_103_0_0;Stridsvagn 103-0
sw_strv_103_0_1;Strv 103-0
sw_strv_103_0_2;Strv 103-0
jp_type_5_ho_ri_production_shop;Ho-Ri Production
jp_type_5_ho_ri_production_0;Type 5 Ho-Ri Production
jp_type_5_ho_ri_production_1;Ho-Ri Production
jp_type_5_ho_ri_production_2;Ho-Ri Production
fir_ny;Christmas tree
fir_ny_0;Christmas tree
fir_ny_1;Christmas tree
fir_ny_2;Christmas tree
giftbox_ny;Present
giftbox_ny_0;Present
giftbox_ny_1;Present
giftbox_ny_2;Present
giftbox;Present
giftbox_0;Present
giftbox_1;Present
giftbox_2;Present
ussr_freight_car_1926_shop;Railway carriage
ussr_freight_car_1926_0;Railway carriage
ussr_freight_car_1926_1;Railway carriage
ussr_freight_car_1926_2;Railway carriage
ussr_locomotive_e_1298_shop;Locomotive
ussr_locomotive_e_1298_0;Locomotive
ussr_locomotive_e_1298_1;Locomotive
ussr_locomotive_e_1298_2;Locomotive
uk_cruiser_enterprise_d52_shop;HMS Enterprise
uk_cruiser_enterprise_d52_0;Emerald-class, HMS Enterprise (D52), 1944
uk_cruiser_enterprise_d52_1;HMS Enterprise
